,Obj Val,Mean Violation,Max Violation,Num Violations,Elapsed Time
0,,,,,7.69743275642395
1,,,,,52.25123190879822
2,829735.6348408497,0.0,0.0,0.0,7.961033821105957
3,,,,,2.796360969543457
4,,,,,2.8893909454345703
5,,,,,6.059860944747925
6,,,,,14.274238109588625
7,5436.599378858717,0.0,0.0,0.0,5.056354284286499
8,4722.68810265895,0.0,0.0,0.0,10.69583225250244
9,,,,,2.8053219318389893
10,,,,,2.7839879989624023
11,,,,,2.840636730194092
12,,,,,2.84054970741272
13,,,,,6.320007801055908
14,,,,,2.8672139644622803
15,,,,,2.743467330932617
16,,,,,2.8962602615356445
17,,,,,2.876807928085327
18,,,,,29.636478185653687
19,,,,,2.860235929489136
20,,,,,2.849541187286377
21,,,,,2.749262571334839
22,4489.366794221066,1.2007887539872368,4.803155015948947,1.0,6.070307016372681
23,,,,,2.790602922439575
24,,,,,6.933207511901856
25,,,,,2.8986587524414062
26,,,,,2.836033821105957
27,,,,,6.133082151412964
28,,,,,35.53584289550781
29,165256.62064812754,0.0,0.0,0.0,15.214164972305298
30,,,,,69.09317088127136
31,,,,,7.989287614822388
32,,,,,2.7993974685668945
33,,,,,2.825329542160034
34,,,,,2.785226821899414
35,,,,,5.304285049438477
36,,,,,2.833906650543213
37,,,,,2.8181276321411133
38,,,,,2.8925890922546387
39,,,,,2.871432304382324
40,,,,,15.000293731689451
41,,,,,2.822872400283813
42,,,,,2.7606687545776367
43,,,,,2.7884020805358887
44,,,,,2.8292806148529053
45,,,,,12.796103715896606
46,,,,,2.79953932762146
47,,,,,6.923449993133545
48,,,,,2.790773630142212
49,,,,,2.858497381210327
50,,,,,28.86930513381958
51,,,,,2.838275194168091
52,13700695.440583477,0.0,0.0,0.0,12.38204836845398
53,,,,,7.722283124923706
54,,,,,2.7871615886688232
55,4844.909890064185,0.0,0.0,0.0,5.138861656188965
56,,,,,5.6445043087005615
57,,,,,112.5435118675232
58,,,,,20.18442726135254
59,,,,,2.865811586380005
60,,,,,2.799588441848755
61,,,,,2.8516085147857666
62,,,,,2.841475486755371
63,,,,,2.8312814235687256
64,,,,,2.852333307266236
65,,,,,2.807827949523926
66,,,,,2.826356172561645
67,,,,,2.812544822692871
68,,,,,21.31937551498413
69,,,,,6.759862184524536
70,,,,,2.829784870147705
71,,,,,2.844183444976806
72,,,,,2.797673463821411
73,,,,,30.832970142364506
74,,,,,2.824370145797729
75,,,,,2.814606189727783
76,,,,,2.8015341758728027
77,,,,,2.813005924224853
78,,,,,5.645138263702393
79,,,,,6.456362724304199
80,,,,,2.762890338897705
81,,,,,8.065028429031372
82,,,,,2.85866117477417
83,,,,,2.7354352474212646
84,,,,,72.30130863189697
85,,,,,9.516194581985474
86,,,,,27.425085067749023
87,,,,,7.591688394546509
88,,,,,6.5216591358184814
89,,,,,2.832096815109253
90,,,,,2.82718276977539
91,,,,,2.794318199157715
92,,,,,2.778096914291382
93,,,,,2.883378744125366
94,,,,,2.858938455581665
95,,,,,16.400081157684326
96,,,,,2.791046380996704
97,,,,,9.459462642669678
98,,,,,6.04668116569519
99,,,,,5.807612657546997
