,Obj Val,Mean Violation,Max Violation,Num Violations,Num Proj Iters,Elapsed Time
0,-0.3771389857142625,0.0,0.0,0,1,0.025414698123931885
1,-0.3473623156225876,0.0,0.0,0,1,0.025414698123931885
2,-0.23031063433549706,0.0,0.0,0,1,0.025414698123931885
3,-0.26756871563414686,0.0,0.0,0,1,0.025414698123931885
4,-0.23729412363879648,0.0,0.0,0,1,0.025414698123931885
5,-0.4662744703487198,0.0,0.0,0,1,0.025414698123931885
6,-0.23647642837035576,0.0,0.0,0,1,0.025414698123931885
7,-0.163753051563237,0.0,0.0,0,75,0.025414698123931885
8,-0.399529768505189,0.0,0.0,0,1,0.025414698123931885
9,-0.13316051137906595,0.0,0.0,0,14,0.025414698123931885
10,-0.4508830446950355,0.0,0.0,0,1,0.025414698123931885
11,-0.2460716143249006,0.0,0.0,0,1,0.025414698123931885
12,-0.1257950705517546,0.0,0.0,0,44,0.025414698123931885
13,-0.2592815860653756,0.0,0.0,0,28,0.025414698123931885
14,-0.2409138375199353,0.0,0.0,0,1,0.025414698123931885
15,-0.2059612771488677,0.0,0.0,0,10,0.025414698123931885
16,-0.2186946324709802,0.0,0.0,0,152,0.025414698123931885
17,-0.36592911170741227,0.0,0.0,0,1,0.025414698123931885
18,-0.1798357613562641,0.0,0.0,0,1,0.025414698123931885
19,-0.3809745000218231,0.0,0.0,0,1,0.025414698123931885
20,-0.1596937485976821,0.0,0.0,0,8,0.025414698123931885
21,-0.2552928219130316,0.0,0.0,0,1,0.025414698123931885
22,-0.20175566184521837,0.0,0.0,0,1,0.025414698123931885
23,-0.17577083013794997,0.0,0.0,0,72,0.025414698123931885
24,-0.3318516104949574,0.0,0.0,0,1329,0.025414698123931885
25,-0.17099863072155597,0.0,0.0,0,1,0.025414698123931885
26,-0.3110785233185936,0.0,0.0,0,1,0.025414698123931885
27,-0.43673164438033163,0.0,0.0,0,1,0.025414698123931885
28,-0.42239941281284266,0.0,0.0,0,1,0.025414698123931885
29,-0.2411653081802037,0.0,0.0,0,2,0.025414698123931885
30,-0.4005428526576351,0.0,0.0,0,1,0.025414698123931885
31,-0.32810314861046197,0.0,0.0,0,1,0.025414698123931885
32,-0.31047528679347985,0.0,0.0,0,72,0.025414698123931885
33,-0.22658280251785928,0.0,0.0,0,16,0.025414698123931885
34,-0.4659082356690264,0.0,0.0,0,1,0.025414698123931885
35,-0.4134495645419535,0.0,0.0,0,1,0.025414698123931885
36,-0.2005318873399352,0.0,0.0,0,1,0.025414698123931885
37,-0.4377150906925944,0.0,0.0,0,48,0.025414698123931885
38,-0.25405982184847736,0.0,0.0,0,1,0.025414698123931885
39,-0.21622577727963294,0.0,0.0,0,4,0.025414698123931885
40,-0.38746997397251864,0.0,0.0,0,1,0.025414698123931885
41,-0.2790440525662145,0.0,0.0,0,108,0.025414698123931885
42,-0.4411029834882691,0.0,0.0,0,1,0.025414698123931885
43,-0.17316169852749808,0.0,0.0,0,1,0.025414698123931885
44,-0.15294317974549065,0.0,0.0,0,1,0.025414698123931885
45,-0.45507424221888093,0.0,0.0,0,7,0.025414698123931885
46,-0.42495455116139,0.0,0.0,0,1,0.025414698123931885
47,-0.16856517525989878,0.0,0.0,0,1,0.025414698123931885
48,-0.27132541838524193,0.0,0.0,0,750,0.025414698123931885
49,-0.23975097978655963,0.0,0.0,0,1,0.025414698123931885
50,-0.08357729799254039,0.0,0.0,0,1,0.025414698123931885
51,-0.21225654431729346,0.0,0.0,0,1,0.025414698123931885
52,-0.2977988692018262,0.0,0.0,0,85,0.025414698123931885
53,-0.170897189016096,0.0,0.0,0,1,0.025414698123931885
54,-0.1270413732720404,0.0,0.0,0,18,0.025414698123931885
55,-0.1839342407587844,0.0,0.0,0,1,0.025414698123931885
56,-0.37781460342144474,0.0,0.0,0,1,0.025414698123931885
57,-0.35242191375827187,0.0,0.0,0,74,0.025414698123931885
58,-0.3478588332727791,0.0,0.0,0,1,0.025414698123931885
59,-0.17767443065339428,0.0,0.0,0,1,0.025414698123931885
60,-0.3211201715395105,0.0,0.0,0,1,0.025414698123931885
61,-0.4162382660303952,0.0,0.0,0,1,0.025414698123931885
62,-0.3866009088616796,0.0,0.0,0,1,0.025414698123931885
63,-0.17163403743298128,0.0,0.0,0,1,0.025414698123931885
64,-0.3830549046589601,0.0,0.0,0,20,0.025414698123931885
65,-0.3327087430135755,0.0,0.0,0,1,0.025414698123931885
66,-0.2542274069069441,0.0,0.0,0,33,0.025414698123931885
67,-0.21189472024177652,0.0,0.0,0,1,0.025414698123931885
68,-0.14945010326148966,0.0,0.0,0,1,0.025414698123931885
69,-0.23597530433410863,0.0,0.0,0,103,0.025414698123931885
70,-0.2047347427513794,0.0,0.0,0,1,0.025414698123931885
71,-0.35048940152758723,0.0,0.0,0,1,0.025414698123931885
72,-0.30511670348243874,0.0,0.0,0,1,0.025414698123931885
73,-0.22955319364284948,0.0,0.0,0,1,0.025414698123931885
74,-0.32474479839943754,0.0,0.0,0,12,0.025414698123931885
