,Obj Val,Mean Violation,Max Violation,Num Violations,Num Proj Iters,Elapsed Time
0,-192.69909088187768,0.0,0.0,0,614,0.016111278533935548
1,-191.48551782752497,0.0,0.0,0,868,0.016111278533935548
2,-192.88962846257252,0.0,0.0,0,499,0.016111278533935548
3,-191.67609390666541,0.0,0.0,0,1004,0.016111278533935548
4,-192.01115700227402,0.0,0.0,0,801,0.016111278533935548
5,-191.97757887862684,0.0,0.0,0,797,0.016111278533935548
6,-192.85361213890104,0.0,0.0,0,550,0.016111278533935548
7,-193.40903154982806,0.0,0.0,0,681,0.016111278533935548
8,-191.04890047035076,0.0,0.0,0,1119,0.016111278533935548
9,-192.41682026361445,0.0,0.0,0,719,0.016111278533935548
10,-192.0230616411707,0.0,0.0,0,734,0.016111278533935548
11,-191.51946762419743,0.0,0.0,0,623,0.016111278533935548
12,-194.17547936564222,0.0,0.0,0,649,0.016111278533935548
13,-192.70915604370194,0.0,0.0,0,456,0.016111278533935548
14,-193.12726885186154,0.0,0.0,0,537,0.016111278533935548
15,-191.6204204152978,0.0,0.0,0,945,0.016111278533935548
16,-191.54745121294684,0.0,0.0,0,840,0.016111278533935548
17,-194.99561483657928,0.0,0.0,0,290,0.016111278533935548
18,-192.3826125385967,0.0,0.0,0,617,0.016111278533935548
19,-192.2360118540663,0.0,0.0,0,648,0.016111278533935548
20,-192.10869949170544,0.0,0.0,0,691,0.016111278533935548
21,-192.85243567703148,0.0,0.0,0,675,0.016111278533935548
22,-191.65019670929368,0.0,0.0,0,995,0.016111278533935548
23,-191.65534464109217,0.0,0.0,0,669,0.016111278533935548
24,-191.56226417728007,0.0,0.0,0,654,0.016111278533935548
25,-191.57414043408804,0.0,0.0,0,723,0.016111278533935548
26,-192.77996300407912,0.0,0.0,0,572,0.016111278533935548
27,-191.34740239384527,0.0,0.0,0,1598,0.016111278533935548
28,-191.53910354470904,0.0,0.0,0,998,0.016111278533935548
29,-192.66165582727888,0.0,0.0,0,602,0.016111278533935548
30,-190.81803342556583,0.0,0.0,0,872,0.016111278533935548
31,-191.94723691612006,0.0,0.0,0,751,0.016111278533935548
32,-193.5830677139214,0.0,0.0,0,810,0.016111278533935548
33,-192.7590779483461,0.0,0.0,0,608,0.016111278533935548
34,-191.93591071100806,0.0,0.0,0,739,0.016111278533935548
35,-193.23418791495683,0.0,0.0,0,694,0.016111278533935548
36,-193.3149395275518,0.0,0.0,0,590,0.016111278533935548
37,-192.70284870162385,0.0,0.0,0,647,0.016111278533935548
38,-191.02902055719773,0.0,0.0,0,743,0.016111278533935548
39,-192.64603868882952,0.0,0.0,0,742,0.016111278533935548
40,-194.10302880320802,0.0,0.0,0,452,0.016111278533935548
41,-191.39072797877932,0.0,0.0,0,860,0.016111278533935548
42,-191.50919497703913,0.0,0.0,0,721,0.016111278533935548
43,-192.29585977752959,0.0,0.0,0,718,0.016111278533935548
44,-192.91355692759035,0.0,0.0,0,539,0.016111278533935548
45,-191.6582000635014,0.0,0.0,0,943,0.016111278533935548
46,-192.66026731189996,0.0,0.0,0,818,0.016111278533935548
47,-190.2725711853158,0.0,0.0,0,946,0.016111278533935548
48,-192.49730413410026,0.0,0.0,0,689,0.016111278533935548
49,-191.33771471661325,0.0,0.0,0,681,0.016111278533935548
50,-193.25648790065773,0.0,0.0,0,705,0.016111278533935548
51,-192.3450583288759,0.0,0.0,0,801,0.016111278533935548
52,-192.66435256756924,0.0,0.0,0,717,0.016111278533935548
53,-192.35121984168697,0.0,0.0,0,726,0.016111278533935548
54,-191.85859200705954,0.0,0.0,0,985,0.016111278533935548
55,-191.75696196738286,0.0,0.0,0,979,0.016111278533935548
56,-192.015405922523,0.0,0.0,0,588,0.016111278533935548
57,-191.96768927958644,0.0,0.0,0,810,0.016111278533935548
58,-192.007462642715,0.0,0.0,0,783,0.016111278533935548
59,-191.49665192316004,0.0,0.0,0,905,0.016111278533935548
60,-193.14872826035526,0.0,0.0,0,591,0.016111278533935548
61,-190.63825298128305,0.0,0.0,0,1028,0.016111278533935548
62,-192.3322656349186,0.0,0.0,0,578,0.016111278533935548
